res,expres,CODE,EDID,DTD,CVT,RB,DATE,DMTID,STDID,CVTID,VIC,HVIC,AR,HTOT,HRES,HSPD,HSPW,HSPP,SCAN,VRAT,VTOT,VRES,VSPD,VSPW,VSPP,PCLK,|,780C,780C,780C,780D 780E,780D 780E,780D 780E,780C 780D 780E,HDBASETIN1,HDMIIN1,HDMIIN2,HDMIINRX,VGAIN1,HDBASETOUT1,HDMIOUT1
720x480i@119_16:9,1440x240,480i119SH,VIC059a,1,0,0,Null,Null,Null,Null,59,Null,16:09,1716,1440,38,124,-,int,239.77,262,240,4,3,-,53.9999,|,x,x,x,x,x,x,,,,,,,,
720x480i@120_16:9,1440x240,480i120SH,VIC059b,1,0,0,Null,Null,Null,Null,59,Null,16:09,1716,1440,38,124,-,int,240,262,240,4,3,-,54.054,|,x,x,x,x,x,x,,,,,,,,
720x480p@59_4:3,Null,480p59,VIC002a,1,0,0,Null,Null,Null,Null,2,Null,4:03,858,720,16,62,-,prog,59.94,525,480,9,6,-,26.9999,|,x,x,x,x,x,x,,,,,,,,
720x480p@60_4:3,Null,480p60,VIC002b,1,0,0,Null,Null,Null,Null,2,Null,4:03,858,720,16,62,-,prog,60,525,480,9,6,-,27.027,|,x,x,x,x,x,x,,x,x,x,x,x,x,x
720x480p@119_4:3,Null,480p119,VIC048a,1,0,0,Null,Null,Null,Null,48,Null,4:03,858,720,16,62,-,prog,119.89,525,480,9,6,-,53.9999,|,x,x,x,x,x,x,,,,,,,,
720x480p@120_4:3,Null,480p120,VIC048b,1,0,0,Null,Null,Null,Null,48,Null,4:03,858,720,16,62,-,prog,120,525,480,9,6,-,54.054,|,x,x,x,x,x,x,,x,x,x,x,x,,
720x480p@239_4:3,Null,480p239,VIC056a,1,0,0,Null,Null,Null,Null,56,Null,4:03,858,720,16,62,-,prog,239.77,525,480,9,6,-,107.9999,|,x,x,x,x,x,x,,,,,,,,
720x480p@240_4:3,Null,480p240,VIC056b,1,0,0,Null,Null,Null,Null,56,Null,4:03,858,720,16,62,-,prog,240,525,480,9,6,-,108.108,|,x,x,x,x,x,x,,x,x,x,x,x,,
720x480p@59_16:9,Null,480p59SH,VIC003a,1,0,0,Null,Null,Null,Null,3,Null,16:09,858,720,16,62,-,prog,59.94,525,480,9,6,-,26.9999,|,x,x,x,x,x,x,,,,,,,,
720x480p@60_16:9,Null,480p60SH,VIC003b,1,0,0,Null,Null,Null,Null,3,Null,16:09,858,720,16,62,-,prog,60,525,480,9,6,-,27.027,|,x,x,x,x,x,x,,,,,,,,
